what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312786551645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312786560221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312786676210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312786681779
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312786725431
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1312786726047
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312786726707
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312786891299
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312786891343
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1312786894331
started,bundle,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui",1312786894448
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1312786894920
started,bundle,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui",1312786895020
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1312786895122
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1312786895157
started,bundle,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.ui",1312786895272
started,bundle,org.eclipse.jst.jsp.core,1.2.305.v201104281428,"org.eclipse.jst.jsp.core",1312786895445
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1312786895872
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1312786895983
opened,editor,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1312786896145
activated,editor,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1312786896370
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1312786897867
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1312786897979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312786953881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312787102520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312787107925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312787109940
